iter	Passed	Remaining
461	775	903
462	776	901
463	778	899
464	779	897
465	781	895
466	782	893
467	784	891
468	785	889
469	786	887
470	788	885
471	789	882
472	790	880
473	791	878
474	792	876
475	793	874
476	795	872
477	797	870
478	798	868
479	799	866
480	800	863
481	801	861
482	803	859
483	804	857
484	805	855
485	806	853
486	808	851
487	809	849
488	812	848
489	813	847
490	815	845
491	816	843
492	817	841
493	819	839
494	820	836
495	821	834
496	822	832
497	823	830
498	825	828
499	826	826
500	827	824
501	828	822
502	830	820
503	831	818
504	832	816
505	834	814
506	835	812
507	836	810
508	838	808
509	839	806
510	840	804
511	842	802
512	843	800
513	844	798
514	845	796
515	847	794
516	848	792
517	849	790
518	850	788
519	851	786
520	852	784
521	853	782
522	855	780
523	856	778
524	858	776
525	859	774
526	860	772
527	861	770
528	863	768
529	864	766
530	865	764
531	866	762
532	868	760
533	869	758
534	871	757
535	872	755
536	874	753
537	875	751
538	876	749
539	877	747
540	878	745
541	879	743
542	881	741
543	882	739
544	883	737
545	884	735
546	885	733
547	886	731
548	887	729
549	889	727
550	890	725
551	891	723
552	892	721
553	893	719
554	894	717
555	895	715
556	897	713
557	898	711
558	899	709
559	900	707
560	902	705
561	903	703
562	904	701
563	905	700
564	906	698
565	907	696
566	909	694
567	910	692
568	911	690
569	912	688
570	913	686
571	914	684
572	916	682
573	917	680
574	918	678
575	919	676
576	920	674
577	921	673
578	923	671
579	924	669
580	925	667
581	926	665
582	927	663
583	928	661
584	930	659
585	931	658
586	932	656
587	933	654
588	935	652
589	936	650
590	937	648
591	938	646
592	939	645
593	941	643
594	942	641
595	943	639
596	944	637
597	945	635
598	947	634
599	948	632
600	949	630
601	950	628
602	951	626
603	952	624
604	954	622
605	955	621
606	956	619
607	957	617
608	958	615
609	960	613
610	961	612
611	962	610
612	963	608
613	964	606
614	965	604
615	966	602
616	967	600
617	969	599
618	970	597
619	971	595
620	972	593
621	974	591
622	975	590
623	976	588
624	977	586
625	978	584
626	979	582
627	980	580
628	981	579
629	982	577
630	984	575
631	985	573
632	986	571
633	987	570
634	988	568
635	989	566
636	991	564
637	992	563
638	993	561
639	994	559
640	995	557
641	996	555
642	998	554
643	999	552
644	1000	550
645	1001	548
646	1002	547
647	1004	545
648	1005	543
649	1006	541
650	1007	540
651	1008	538
652	1009	536
653	1011	534
654	1012	533
655	1013	531
656	1014	529
657	1015	527
658	1016	526
659	1018	524
660	1019	522
661	1020	521
662	1021	519
663	1022	517
664	1024	515
665	1025	514
666	1026	512
667	1027	510
668	1028	509
669	1030	507
670	1031	505
671	1032	503
672	1033	502
673	1035	500
674	1036	498
675	1037	497
676	1038	495
677	1039	493
678	1040	491
679	1041	490
680	1042	488
681	1044	486
682	1045	485
683	1046	483
684	1047	481
685	1048	480
686	1049	478
687	1051	476
688	1052	475
689	1053	473
690	1054	471
691	1055	469
692	1057	468
693	1058	466
694	1059	464
695	1060	463
696	1062	461
697	1063	460
698	1064	458
699	1065	456
700	1066	455
701	1067	453
702	1068	451
703	1069	449
704	1070	448
705	1071	446
706	1072	444
707	1073	442
708	1074	441
709	1075	439
710	1077	437
711	1078	436
712	1079	434
713	1080	432
714	1081	431
715	1082	429
716	1083	427
717	1085	426
718	1086	424
719	1087	422
720	1088	421
721	1090	419
722	1091	418
723	1092	416
724	1093	414
725	1095	413
726	1096	411
727	1097	410
728	1098	408
729	1099	406
730	1100	405
731	1102	403
732	1103	401
733	1104	400
734	1106	398
735	1107	397
736	1108	395
737	1109	393
738	1110	392
739	1112	390
740	1113	389
741	1114	387
742	1115	385
743	1116	384
744	1118	382
745	1119	381
746	1120	379
747	1121	377
748	1123	376
749	1124	374
750	1125	373
751	1126	371
752	1127	369
753	1128	368
754	1129	366
755	1131	365
756	1132	363
757	1133	361
758	1134	360
759	1136	358
760	1137	357
761	1138	355
762	1139	354
763	1140	352
764	1142	350
765	1143	349
766	1144	347
767	1145	346
768	1146	344
769	1147	342
770	1149	341
771	1150	339
772	1151	338
773	1152	336
774	1153	334
775	1155	333
776	1156	331
777	1157	330
778	1158	328
779	1159	327
780	1160	325
781	1162	323
782	1163	322
783	1164	320
784	1165	319
785	1166	317
786	1168	316
787	1169	314
788	1170	312
789	1171	311
790	1172	309
791	1173	308
792	1174	306
793	1176	305
794	1177	303
795	1178	301
796	1179	300
797	1180	298
798	1181	297
799	1183	295
800	1184	294
801	1185	292
802	1186	291
803	1187	289
804	1189	288
805	1190	286
806	1191	284
807	1192	283
808	1193	281
809	1195	280
810	1196	278
811	1197	277
812	1198	275
813	1200	274
814	1201	272
815	1202	271
816	1203	269
817	1204	267
818	1205	266
819	1206	264
820	1207	263
821	1208	261
822	1210	260
823	1211	258
824	1212	257
825	1213	255
826	1214	254
827	1215	252
828	1216	251
829	1218	249
830	1219	247
831	1220	246
832	1221	244
833	1223	243
834	1224	241
835	1225	240
836	1226	238
837	1227	237
838	1229	235
839	1230	234
840	1231	232
841	1232	231
842	1234	229
843	1235	228
844	1236	226
845	1237	225
846	1238	223
847	1239	222
848	1241	220
849	1242	219
850	1243	217
851	1244	216
852	1246	214
853	1247	213
854	1248	211
855	1249	210
856	1250	208
857	1251	207
858	1253	205
859	1254	204
860	1255	202
861	1256	201
862	1257	199
863	1259	198
864	1260	196
865	1261	195
866	1262	193
867	1263	192
868	1264	190
869	1266	189
870	1267	187
871	1268	186
872	1269	184
873	1271	183
874	1272	181
875	1273	180
876	1274	178
877	1275	177
878	1276	175
879	1277	174
880	1278	172
881	1280	171
882	1281	169
883	1282	168
884	1283	166
885	1285	165
886	1286	163
887	1287	162
888	1288	160
889	1289	159
890	1290	157
891	1291	156
892	1293	154
893	1294	153
894	1295	151
895	1296	150
896	1297	149
897	1299	147
898	1300	146
899	1301	144
900	1302	143
901	1304	141
902	1305	140
903	1306	138
904	1307	137
905	1308	135
906	1309	134
907	1310	132
908	1312	131
909	1313	129
910	1315	128
911	1316	127
912	1317	125
913	1318	124
914	1319	122
915	1320	121
916	1322	119
917	1323	118
918	1324	116
919	1325	115
920	1326	113
921	1328	112
922	1329	110
923	1330	109
924	1331	107
925	1333	106
926	1334	105
927	1335	103
928	1336	102
929	1337	100
930	1338	99
931	1339	97
932	1341	96
933	1342	94
934	1343	93
935	1344	91
936	1345	90
937	1346	89
938	1348	87
939	1349	86
940	1350	84
941	1351	83
942	1352	81
943	1353	80
944	1354	78
945	1356	77
946	1357	75
947	1359	74
948	1360	73
949	1361	71
950	1362	70
951	1363	68
952	1364	67
953	1365	65
954	1367	64
955	1368	62
956	1369	61
957	1370	60
958	1372	58
959	1373	57
960	1374	55
961	1375	54
962	1376	52
963	1377	51
964	1379	50
965	1380	48
966	1381	47
967	1382	45
968	1384	44
969	1385	42
970	1386	41
971	1387	39
972	1389	38
973	1390	37
974	1391	35
975	1392	34
976	1393	32
977	1394	31
978	1396	29
979	1397	28
980	1398	27
981	1400	25
982	1401	24
983	1402	22
984	1403	21
985	1404	19
986	1405	18
987	1407	17
988	1408	15
989	1409	14
990	1410	12
991	1411	11
992	1412	9
993	1413	8
994	1414	7
995	1416	5
996	1417	4
997	1418	2
998	1420	1
999	1421	0
